brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
REEBOK,Reebok Zig Dynamica 4 Masculino Adultos,1.099,64,106,,,
OLYMPIKUS,Olympikus Express Masculino Adultos,274,99,217,79,,
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos,218,74,139,99,,
FILA,Fila Retro Sport 2.0 V2 Masculino Adultos,290,69,28,18,,
REEBOK,Reebok Zig Dynamica 4 Masculino Adultos,1.099,64,106,,,
NEW BALANCE,Tenis New Balance 520v8 Corrida Esportivo Masculino Original,399,99,40,,,
OLYMPIKUS,Tênis Running Masculino Olympikus Perfect 3 Preto,345,75,34,58,,
OLYMPIKUS,Tênis Running Masculino Vertical Olympikus Preto,432,23,43,22,,
OLYMPIKUS,Tênis Running Masculino Olympikus Triunfo 3 Preto,283,99,31,55,,
FILA,Tenis Para Corrida Confortavel Mais Equilibrio Fila Original,349,99,297,49,,
SAPATOFRAN,Tênis Masculino Esportivo Academia Kit C/meia Lupo + Relógio,107,90,10,49,,
BF SHOES,Tênis Masculino Para Caminhada Academia Esportivo Bf Shoes,89,90,64,90,,
OLYMPIKUS,Tênis Running Masculino Taurus Olympikus Preto,345,78,34,58,,
NIKE,Tênis Nike Flex Experience 12 Masculino,299,99,29,08,,
OLYMPIKUS,Tênis Running Masculino Olympikus Original Volcan,246,94,30,87,,
OLYMPIKUS,Tênis Running Masculino Olympikus Urbex/104 Preto,246,92,30,86,,
OLYMPIKUS,Tênis Running Masculino Olympikus Original Volcan,246,94,30,87,,
OLYMPIKUS,Tênis Running Masculino Zex Olympikus Branco E Preto,283,99,31,55,,
NIKE,Tênis Nike Air Max Sc Masculino,389,99,39,,,
OLYMPIKUS,Tênis Running Masculino Volcan Original Olympikus,234,59,33,51,,
OLYMPIKUS,Tênis Running Masculino Soma Olympikus Marinho,246,94,30,87,,
PUMA,Tênis Puma Flyer Runner Mesh Bdp Masculino Original ,329,90,283,71,,
NEW BALANCE,Tênis Masculino New Balance Arish Basico Fitness Treino +nfe,499,99,48,47,,
UNDER ARMOUR,Tênis Sport Under Armour Charged Skyline 4 Original Treino,412,49,329,99,,
OLYMPIKUS,Tênis Olympikus Cyber Original,259,99,185,25,,
OLYMPIKUS,Olympikus 24/7 Lap Masculino Adultos,218,74,139,99,,
MIZUNO,Tênis Mizuno Hawk 5 Masculino,389,90,319,71,,
FILA,Tênis Fila Fire Masculino / Feminino - Original ,349,99,248,49,,
DM DAMANDO,Tenis Masculino Confortavel/academia/crossfit + Relógio,77,90,74,67,,
OLYMPIKUS,Olympikus Neblina Masculino Adultos,324,99,259,99,,
FILA,Tênis Fila Efecto Masculino / Feminino - Original,299,99,224,99,,
,Tenis Olimp Esportivo Masculino Feminino Leve E Macio,78,90,7,67,,
,Kit Combo 2 Tenis Masculino Academia Caminhada Corrida Top,169,90,152,91,,
OLYMPIKUS,Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012,229,90,158,63,,
UNDER ARMOUR,Under Armour Tribase Cross Masculino Adultos,499,99,349,99,,
ASCENSION,Tenis Masculino E Feminino De Caminhada Ortopedico Crossfit,68,67,22,,,
OLYMPIKUS,Tênis Olympikus Chroma Masculino Preto Academia Caminhada,251,24,188,10,,
,Tenis Menino Infantil Ad Escolar Esportivo Merks ,69,90,46,55,,
OLYMPIKUS,Olympikus Perfect 3 Masculino Adultos,259,99,194,99,,
OLYMPIKUS,Olympikus Express Masculino Adultos,274,99,217,79,,
OLYMPIKUS,Olympikus Voa 2 Feminino Adultos,299,99,33,33,,
BF SHOES,Tênis Branco Lançamento Original Confortável,99,88,65,62,,
TRYD,Tênis Para Treino Academia Caminhada Corrida Tryd 5400 Leve,99,99,71,99,,
FILA,Tênis Fila Masculino Esportivo Extra Treino Confortável,319,90,275,11,,
ADIDAS,adidas Lite Racer 3.0 Masculino Adultos,269,62,33,,,
,Tenis Sapatilha Bike Pesca Corrida Academia Neoprene Confort,53,67,17,,,
OLDSEN,Tênis Masculino Academia Esportivo Caminhada Academia ,78,90,67,06,,
BOX200,Tênis Masculino Tamanho Especial Esporte Caminhada Box 200,89,90,76,41,,
OLYMPIKUS,Olympikus Casual Noventa Masculino Adultos,199,99,169,99,,
FILA,Fila Magnus Masculino Adultos F01AT00021,246,38,197,10,,
OLYMPIKUS,Olympikus Treino Venum Sem gênero Adultos,183,38,157,30,,
FILA,Fila KR6 Masculino Adultos,599,40,359,84,,
SAPATOFRAN,Tênis Masculino Esportivo Academia Kit C/meia Lupo + Relógio,107,90,10,49,,
ASCENSION,Tenis Ortopedico Masculino Corrida Caminhada Academia Treino,119,67,110,76,,
